"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"X0b0b23c2.dac8.45cf.ba91.913776b00a33",0.0654170429350791,0.116913079058117,0.00579179431339643,0.00417955377706826,5.68848354273094e-07,0.069639657428676,0.357929998606968,3.39437954397561e-07,0.380127965594386
"X0b36289c.6835.414d.9f86.4cc4a812af87",0.0744460620787804,0.100139195488031,0.155254453970533,4.5254325977987e-07,0.0262062151915691,0.000833447437012515,0.393851911375826,2.22137752296376e-07,0.249268039777236
"X0b59b278.d2f6.4aa6.bf6d.b8d743ae83af",0.0709108558245325,0.031163147073089,0.0847989884148047,0.0116376023598684,0.0996349430612429,0.22407813716891,0.13966067450324,0.0221295635204183,0.315986088073894
"X0ba03a16.3c4f.4118.91aa.53d4a7c00d38",0.0660083406951752,0.375823063181023,0.0068965389122895,0.00918059289269321,0.0137298796524283,0.0330077350933461,0.291905176162791,3.09528717297462e-07,0.203448363881536
"X0bceb3fb.af69.4427.8ce1.767da4b31c37",0.130535067986444,0.325917092875319,0.121328373619148,5.59993556882505e-07,0.0138560989903648,0.0704811385188299,0.122013075125951,0.00862025634814924,0.207248336542238
"X0c087071.89ba.4fc8.ab47.c4f1c60fa24c",0.121572265350865,0.0353931588293333,0.0900021199210997,0.00876218800657455,0.0974707093588358,0.0848976053746431,0.11688724069262,0.0269689799104305,0.418045732555598
"X0c13d041.ca8d.48cc.ba02.3b7889e5367c",0.0554398507505272,0.24732078083459,0.0243000340157311,0.00978116416980605,0.000614413671745182,0.0245538670140749,0.24814192155356,1.24070651968949e-07,0.389847843919313
"X0c311d42.5038.4408.ac4a.5ffbb02817e4",0.0233397679248455,0.305979916384461,0.0357540259885324,2.16366918428834e-07,9.40686931569587e-07,0.0335316691175752,0.0813469949368942,0.035355305882128,0.484691162711714
"X0c80ffec.6290.4b81.9dba.cb64d142b8a8",0.106361493182358,0.320826729669924,1.45027730033454e-06,0.00486013530113369,5.9153299213731e-07,0.012055677392983,0.537352594795338,2.8600293866728e-05,0.0185127275541044
"X0c814cd9.5b2c.4764.9e6a.6ad0403fcd7d",0.129521295092167,0.0667226048481624,0.0670663109195662,0.0222680534644538,1.0741745922377e-06,0.00175350304582014,0.69647280404344,3.08034634173638e-07,0.0161940463771645
"X0cf58c62.a75d.413b.8ce3.4d90f4688b04",0.14728530427306,0.143078601458735,8.71073294306071e-05,0.0686506672023122,0.033526190663806,0.042007565078514,0.485852787505639,5.28787261979781e-05,0.079458897762305
"X0d6fbefe.4e21.4762.a476.9c899d4a94b7",0.0531208456171706,0.332642047240093,0.0371205072805617,5.50652596344718e-06,0.00241526756793407,0.0528357943454396,0.211040686906979,0.000858533620444243,0.309960810895414
"X0d71189d.6801.4d6b.b306.22efcaa2564a",0.123220844144172,0.0562042669390335,0.301949596024282,0.0080579913933284,0.0858757338179157,0.0549732215808419,0.193903327176821,8.12389035576265e-07,0.17581420653457
"X0d9db3d9.8f0a.41f8.bf2b.5de447d676b8",0.0878072430769733,0.278982254382987,0.00284119288919802,0.0123446749389476,0.00542374597103038,0.0203657857510987,0.471739440936821,0.00104986975732405,0.11944579229562
"X0dacd83e.7fab.4064.a25c.c1de66be5305",0.116009564980662,0.110498341790016,0.260544250635652,0.00952406309480783,0.0385576564308698,0.0212433977963106,0.230420494358444,1.86113739985236e-07,0.213202044799498
"X0db633a3.b1da.4caf.8e2c.89c0bc422869",0.165919061284735,0.259082221880009,3.20823546621204e-06,0.091266572147052,0.0574124964264398,0.0676596448546871,0.345500423212292,4.07631192424704e-06,0.0131522956473949
"X0e062eef.29b8.4622.afd9.0d3f0d1c37d6",0.0730091329546942,0.233523380517825,0.000565351264043656,0.00590057772325827,0.0610727801306227,0.106463786806098,0.149881611881871,0.00173841128046666,0.367844967441121
"X0e2d6467.d90b.40dc.813c.fa4f8a0f4d07",0.0295768094266671,0.132436901822633,0.0924936624275824,0.0127816926892946,0.0699628409213713,0.0672443910658623,0.0153914190596995,2.83019205281915e-07,0.580111999567684
"X0e8857f9.6f8b.46c5.a019.9c69bdc50525",0.0815615785266853,0.405617959868554,0.0110584019280228,0.0373025061849432,0.0158721845817598,0.0370803842761926,0.276454079374623,2.11191367758223e-07,0.135052694067852
"X0ef46de9.c9e7.42f0.92bf.c17dc2ede102",0.188494626604944,0.165642042174066,0.000110641751139089,0.0196055631086635,5.97921222697956e-07,0.0196422015263526,0.606503681428317,2.77148346089469e-07,3.68336948255982e-07
"X0f168687.6f42.4d92.8f91.13efde785a0c",0.201405671117621,0.160434026138334,0.00336857594274824,0.0391527723417386,0.0486130847019616,0.0349168471839146,0.24820313752428,2.67054125860115e-07,0.263905617995276
"X0f382cf1.3e52.4078.bf12.cc6ba998ed3f",0.0630053852197643,0.0223476166184164,0.16271756626654,1.24682152108298e-06,0.142297611831172,0.00612367410549998,0.248113096379158,3.63884924800865e-07,0.355393438873003
"X0f3b932e.de72.483f.9ef6.74ae972637bd",0.0729616076096169,0.143233969504423,1.11558991818217e-06,0.00677859015319621,0.00265875103310178,0.0408771515093716,0.414476588088244,9.09211435113109e-07,0.319011317300693
"X0f669396.2dc4.4305.aa35.c6fbd82ee7df",0.0547303166566694,0.104852699339797,0.073978536748767,0.00198300903383064,3.64769334715298e-05,0.00103423757374591,0.29825877328606,1.99699874502176e-07,0.465125750727784
"X0f9b8032.b21a.4480.8434.d174760a7ddd",0.0698383709887292,0.0929527763126201,0.00842413414088236,0.0120585163306885,0.019705095624547,0.0654548490319283,0.164772229546206,0.00958716394321405,0.557206864081184
"X0fb8ee34.b7c8.4ea6.987a.b69c00baa53a",0.25101276187807,0.136520483694148,1.72895432576095e-06,0.287658092092677,0.125842398989373,0.032354961219801,0.149729080212388,0.00438903202773695,0.0124914609314804
"X1008e8d8.a93c.4779.80b6.1272322e7c52",0.0484538995251922,0.22453891916035,0.0536350298431393,2.18298772217289e-06,0.00226744190159979,0.00217944251333476,0.0289277807603099,7.36047282551704e-05,0.639921698580096
"X10376443.40df.451a.91e5.6be34850558c",0.0757970840587278,0.0616305253487323,0.0665824859142852,0.0189887731032267,0.0150654528652192,0.00915915274764068,0.122041940374415,4.8804836030121e-07,0.630734097539392
"X1044dff3.e077.4086.8d78.e3c125ec0c84",0.0700513415534851,0.0564279524212785,0.157828551743801,6.8589699328612e-07,0.00711894671624109,0.0350464378632729,0.199753464214132,0.00180458393094963,0.471968035659846
"X1075d95f.6d27.42e1.a67a.73d5247c8a68",0.0468273249586467,0.206077500040182,0.0459589586843584,2.90999214364953e-07,6.68179481833541e-07,0.0101204163796288,0.330812216688065,1.62864403481272e-07,0.36020246120602
"X10ce58cf.c9ee.4be2.899d.4c20c788effc",0.143183907741543,0.102901564085985,0.0643773054118396,1.34028857658614e-06,5.88850389979013e-07,0.0104722123127661,0.652522501553952,0.00244187195106849,0.0240987078038787
"X1100a85c.823d.417b.a764.9282ec8593a5",0.104942780063312,0.143481465644579,0.0406304579674788,0.00214834325728252,4.82818784878312e-05,0.0237035118953904,0.327871900814216,4.53773551299334e-05,0.357127881124124
"X11d450a3.4578.4444.8ddf.613b5868b683",0.0759527861415631,0.146900959356978,0.000934314590977538,0.0165684770726203,0.00291098615344712,0.0137274429615143,0.452238285286684,1.4613391582452e-06,0.290765287097057
"X11ed8e05.8f30.460a.b502.01ae09504315",0.15826721493316,0.281817692905315,0.0501548497523642,0.0127112596202249,0.0273389337009362,0.021166051596349,0.32192018761973,4.147462563424e-07,0.126623395125663
"X13295142.1853.417f.a798.60c41fd90166",0.116603136290532,0.0764127978842853,0.0464148550414463,5.61334086483145e-07,0.00042303444625425,0.026056637449327,0.16073862818012,0.117297256268566,0.456053093105383
"X139b1f70.02f6.4f5e.84b3.81d3677b3f8c",0.0576701262240707,0.0531990627640065,0.104897680169064,0.00144507130091215,0.10912297611278,0.0262935761049235,0.250579557368288,1.44350492540143e-07,0.396791805605463
"X13cc2a80.d6fe.49ff.9868.c9eac6df3c5e",0.0108314812248612,0.0223537212285718,0.00208157037952364,1.24630661737584e-07,0.148915932343531,5.61229586314e-07,0.42248205583116,1.29195759903056e-07,0.393334423936345
